STATE_FULL,HOSPITAL_NAME,BURN_BEDS
Pennsylvania,UPMC Altoona,0.0
Pennsylvania,UPMC Children's Hospital of Pittsburgh,0.0
Oregon,Oregon Health & Science University/Doernbecher Children's Hospital,0.0
Oregon,Peacehealth Sacred Heart Medical Center at RiverBend,0.0
Oregon,Salem Hospital,0.0
Oregon,St. Charles Medical Center Bend,0.0
Pennsylvania,Allegheny General Hospital,0.0
Pennsylvania,Children's Hospital of Philadelphia,0.0
Pennsylvania,Conemaugh Memorial Medical Center,0.0
Pennsylvania,Einstein Medical Center Philadelphia,0.0
Pennsylvania,Forbes Hospital,0.0
Pennsylvania,Geisinger Community Medical Center,0.0
Pennsylvania,Geisinger Medical Center/ Geisinger Janet Weis Children's Hospital,0.0
Pennsylvania,Geisinger Wyoming Valley Medical Center,0.0
South Carolina,Prisma Health Richland,0.0
South Carolina,Shawn Jenkins Children's Hospital,0.0
South Carolina,Spartanburg Medical Center - Church Street Campus,0.0
South Dakota,Avera McKennan Hospital and University Health Center,0.0
South Dakota,Monument Health Rapid City Hospital,0.0
Pennsylvania,Jefferson Torresdale Hospital,0.0
Pennsylvania,Lankenau Medical Center,0.0
Pennsylvania,Lehigh Valley Hospital - Muhlenberg,0.0
Pennsylvania,Paoli Hospital,0.0
Pennsylvania,Penn Medicine Lancaster General Hospital,0.0
Pennsylvania,Penn Presbyterian Medical Center,0.0
Pennsylvania,Penn State Health Holy Spirit Medical Center,0.0
Pennsylvania,Penn State Milton S. Hershey Medical Center/Penn State Children's Hospital,0.0
Pennsylvania,Reading Hospital - Tower Health,0.0
Pennsylvania,St. Luke's Anderson Campus,0.0
Pennsylvania,St. Luke's University Hospital - Bethlehem Campus,0.0
Texas,Ascension Seton Williamson,0.0
Texas,Baylor Scott & White Hillcrest Medical Center,0.0
Texas,Baylor Scott & White Medical Center - Grapevine,0.0
Texas,Baylor Scott & White Medical Center - Temple,0.0
Texas,Baylor University Medical Center at Dallas,0.0
Texas,Ben Taub Hospital - Harris Health System,0.0
Texas,CHI St. Joseph Regional Health Center,0.0
Pennsylvania,UPMC Hamot,0.0
Pennsylvania,UPMC Presbyterian,0.0
Pennsylvania,UPMC Williamsport,0.0
Pennsylvania,WellSpan York Hospital,0.0
Rhode Island,Rhode Island Hospital/Hasbro Children's Hospital (Rhode Island Burn Center),0.0
South Carolina,Grand Strand Medical Center,0.0
South Carolina,HCA Trident Medical Center ,0.0
South Carolina,McLeod Regional Medical Center,0.0
South Carolina,Prisma Health Greenville Memorial Hospital,0.0
Texas,Dell Children's Medical Center of Central Texas,0.0
Texas,Doctors Hospital at Renaissance,0.0
Texas,HCA Corpus Christi Medical Center - Bay Area,0.0
Texas,HCA Houston Healthcare Clear Lake,0.0
Texas,HCA Houston Healthcare Conroe,0.0
Texas,HCA Houston Healthcare Northwest,0.0
Texas,HCA St. David's Round Rock Medical Center,0.0
Texas,HCA St. David's South Austin Medical Center,0.0
Texas,JPS Health Network,0.0
South Dakota,Sanford USD Medical Center,0.0
Tennessee,Bristol Regional Medical Center,0.0
Tennessee,Erlanger Baroness Hospital,0.0
Tennessee,Johnson City Medical Center,0.0
Tennessee,Le Bonheur Children's Hospital,0.0
Tennessee,University of Tennessee Medical Center,0.0
Texas,Ascension Seton Hays,0.0
California,Antelope Valley Hospital ,0.0
California,California Hospital Medical Center,0.0
Utah,Utah Valley Hospital,0.0
Texas,Texas Health Harris Methodist Hospital Fort Worth,0.0
Texas,Texas Health Presbyterian Hospital Plano,0.0
Texas,Texas Health Presbyterian Hospital of Dallas,0.0
Texas,UT Health Tyler,0.0
Texas,United Regional Health Care System,0.0
Texas,University Hospital (Pediatric Burn Center),0.0
Texas,CHRISTUS Spohn Hospital Corpus Christi Shoreline,0.0
Texas,CHRISTUS Trinity Mother Frances Hospital - Tyler,0.0
Texas,Children's Medical Center of Dallas,0.0
Texas,Cook Children's Medical Center,0.0
Texas,Covenant Children's Hospital,0.0
Texas,Covenant Medical Center,0.0
Texas,Del Sol Medical Center,0.0
Texas,Medical City Dallas,0.0
Texas,Medical City Denton,0.0
Texas,Memorial Hermann The Woodlands Hospital,0.0
Texas,Methodist Dallas Medical Center,0.0
Texas,Texas Children's Hospital,0.0
California,Santa Rosa Memorial Hospital,0.0
California,Scripps Memorial Hospital,0.0
California,Scripps Mercy Hospital,0.0
California,Sharp Memorial Hospital,0.0
California,St. Francis Medical Center Lynwood,0.0
California,St. Mary Medical Center Long Beach,0.0
Arkansas,Baptist Health Medical Center,0.0
Arkansas,CHI St. Vincent Hospital Hot Springs,0.0
Arkansas,CHI St. Vincent Infirmary ,0.0
Arkansas,UAMS Medical Center,0.0
Arkansas,Washington Regional Medical Center,0.0
Alaska,Providence Alaska Medical Center/Children's Hospital at Providence,0.0
Alaska,Alaska Native Medical Center,0.0
Texas,Valley Baptist Medical Center-Harlingen,0.0
Utah,HCA Ogden Regional Medical Center,0.0
Utah,HCA St. Mark's Hospital,0.0
Utah,Intermountain Medical Center,0.0
Utah,McKay-Dee Hospital,0.0
Utah,Primary Children's Hospital,0.0
Utah,St. George Regional Hospital,0.0
Arizona,HonorHealth Deer Valley Medical Center,0.0
Arizona,HonorHealth John C. Lincoln Medical Center,0.0
Arizona,HonorHealth Scottsdale Osborn Medical Center,0.0
Arizona,Phoenix Children's Hospital,0.0
Arizona,St. Joseph's Hospital and Medical Center,0.0
Texas,McAllen Medical Center,0.0
Virginia,Reston Hospital Center,0.0
Texas,Medical City Arlington,0.0
Arizona,Carondelet St. Joseph's Hospital,0.0
Arizona,Chandler Regional Medical Center,0.0
Arizona,Flagstaff Medical Center,0.0
Washington,Madigan Army Medical Center Joint Base Lewis ,0.0
Washington,MultiCare Mary Bridge Children's Hospital and Health Center,0.0
Washington,PeaceHealth Southwest Medical Center,0.0
Washington,PeaceHealth St. Joseph Medical Center ,0.0
Washington,Providence Regional Medical Center Everett,0.0
Wisconsin,HSHS St. Vincent Hospital,0.0
Wisconsin,Marshfield Medical Center,0.0
Wisconsin,Mayo Clinic Health System Eau Claire,0.0
Wisconsin,Mercyhealth Hospital and Trauma Center,0.0
Wisconsin,SSM Health St. Mary's Hospital Madison,0.0
Wisconsin,ThedaCare Regional Medical Center - Neenah,0.0
Texas,University Medical Center of El Paso,0.0
