HOSPITAL_NAME,CITY,STATE_FULL,LATITUDE,LONGITUDE,nearest_burn_center,nearest_burn_distance_miles,distance_score
Jersey City Medical Center - RWJBarnabas Health,Jersey City,New Jersey,40.7152568,-74.0508239,New York-Presbyterian Hospital/Weill Cornell Medical Center (William Randolph Hearst Burn Center),6.112532138705695,0.004269853737630056
Capital Health Regional Medical Center,Trenton,New Jersey,40.2361585,-74.7522293,St. Christopher's Hospital for Children (Stuart J. Hulnick Burn Center),25.26875511714064,0.01765125909097104
Robert Wood Johnson University Hospital,New Brunswick,New Jersey,,,,,
Jersey Shore University Medical Center,Neptune,New Jersey,,,,,
Morristown Medical Center,Morristown,New Jersey,40.789571,-74.4656846,The Burn Center at Cooperman Barnabas Medical Center,8.606879309064826,0.0060122572696890446
St. Joseph's University Medical Center,Paterson,New Jersey,40.9036081,-74.1657262,The Burn Center at Cooperman Barnabas Medical Center,12.110267126788845,0.008459516969667326
University of New Mexico Hospital (UNM Regional Burn Center),Albuquerque,New Mexico,35.0873833,-106.6175676,University of New Mexico Hospital (UNM Regional Burn Center),0.0,0.0
Albany Medical Center,Albany,New York,42.6532132,-73.7766789,Bridgeport Hospital (The Connecticut Burn Center),105.87357664525646,0.0739570241426548
NYC Health + Hospitals / Lincoln Medical & Mental Health Center,Bronx,New York,40.8170331,-73.9243702,NYC Health + Hospitals / Harlem Hospital (Harlem Burn Center),0.7959104443495967,0.000555976002826306
NYC Health + Hospitals / Jacobi Medical Center (Jacobi Burn Center),Bronx,New York,40.8546253,-73.8459143,NYC Health + Hospitals / Jacobi Medical Center (Jacobi Burn Center),0.0,0.0
St. Barnabas Hospital,Bronx,New York,40.8518592,-73.8931388,NYC Health + Hospitals / Jacobi Medical Center (Jacobi Burn Center),2.4754316196554877,0.0017291902461345106
UHS Wilson Medical Center,Johnson City,New York,42.1143524,-75.9581009,Upstate University Hospital/Upstate Golisano Children's Hospital (Clark Burn Center),64.67259768789954,0.045176454977035894
Mid Hudson Regional Hospital of Westchester Medical Center,Poughkeepsie,New York,41.7186129,-73.9272541,Westchester Medical Center/Maria Fareri Children's Hospital (Trauma Center at Westchester Medical Center),44.056032593880715,0.030774940919323375
Vassar Brothers Medical Center,Poughkeepsie,New York,41.6936055,-73.9348169,Westchester Medical Center/Maria Fareri Children's Hospital (Trauma Center at Westchester Medical Center),42.40614507679631,0.029622426998474897
"Erie County Medical Center (Roger W. Seibel, MD, Burn Treatment Center)",Buffalo,New York,42.9281229,-78.8341467,"Erie County Medical Center (Roger W. Seibel, MD, Burn Treatment Center)",0.0,0.0
Brookdale Hospital Medical Center,Brooklyn,New York,,,,,
Maimonides Medical Center/Maimonides Children's Hospital,Brooklyn,New York,40.6394203,-73.9981068,Staten Island University Hospital (Staten Island University Hospital Burn Center),5.8797425836268244,0.004107240710936796
NewYork Presbyterian Brooklyn Methodist Hospital,Brooklyn,New York,40.6678377,-73.9791449,New York-Presbyterian Hospital/Weill Cornell Medical Center (William Randolph Hearst Burn Center),6.821041265438638,0.0047647763448699166
NYC Health + Hospitals / Kings County,Brooklyn,New York,40.6564684,-73.9436745,New York-Presbyterian Hospital/Weill Cornell Medical Center (William Randolph Hearst Burn Center),7.497849958037752,0.005237554902131908
NYU Langone Hospital-Brooklyn ,Brooklyn,New York,40.6466733,-74.0209065,Staten Island University Hospital (Staten Island University Hospital Burn Center),5.396165280678142,0.0037694421836531908
University of Rochester Medical Center/Strong Memorial Hospital (Kessler Burn Center),Rochester,New York,,,,,
Mount Sinai South Nassau,Oceanside,New York,,,,,
Nassau University Medical Center (Nassau County Firefighters Burn Center),East Meadow,New York,40.7261484,-73.5537201,Nassau University Medical Center (Nassau County Firefighters Burn Center),0.0,0.0
North Shore University Hospital,Manhasset,New York,40.7778063,-73.7018789,Nassau University Medical Center (Nassau County Firefighters Burn Center),8.536849547832414,0.005963338616836469
NYU Langone Hospital-Long Island,Mineola,New York,40.7407697,-73.6425623,Nassau University Medical Center (Nassau County Firefighters Burn Center),4.7598905421997735,0.00332497825142318
Mount Sinai Morningside,New York,New York,40.8052373,-73.9613875,NYC Health + Hospitals / Harlem Hospital (Harlem Burn Center),1.3286319352304676,0.000928103755668713
NYC Health + Hospitals / Bellevue Hospital,New York,New York,40.9189179,-73.8096515,NYC Health + Hospitals / Jacobi Medical Center (Jacobi Burn Center),4.829233271679729,0.003373416984493
New York-Presbyterian Hospital/Weill Cornell Medical Center (William Randolph Hearst Burn Center),New York,New York,40.7647021,-73.9540033,New York-Presbyterian Hospital/Weill Cornell Medical Center (William Randolph Hearst Burn Center),0.0,0.0
NYC Health + Hospitals / Harlem Hospital (Harlem Burn Center),New York,New York,40.8147102,-73.9392782,NYC Health + Hospitals / Harlem Hospital (Harlem Burn Center),0.0,0.0
Upstate University Hospital/Upstate Golisano Children's Hospital (Clark Burn Center),Syracuse,New York,43.0408184,-76.1391437,Upstate University Hospital/Upstate Golisano Children's Hospital (Clark Burn Center),0.0,0.0
Garnet Health Medical Center,Middletown,New York,41.4423094,-74.3683176,Westchester Medical Center/Maria Fareri Children's Hospital (Trauma Center at Westchester Medical Center),38.105178407118224,0.026618025844710843
Jamaica Hospital Medical Center,Jamaica,New York,40.7003666,-73.8164967,New York-Presbyterian Hospital/Weill Cornell Medical Center (William Randolph Hearst Burn Center),8.461185730632057,0.005910484345424047
New York-Presbyterian - Queens,Flushing,New York,40.7560307,-73.8285353,New York-Presbyterian Hospital/Weill Cornell Medical Center (William Randolph Hearst Burn Center),6.593657852228007,0.0046059397294148235
NYC Health + Hospitals / Elmhurst,Elmhurst,New York,40.7390155,-73.8776666,New York-Presbyterian Hospital/Weill Cornell Medical Center (William Randolph Hearst Burn Center),4.372037252608017,0.003054046863148117
Staten Island University Hospital (Staten Island University Hospital Burn Center),Staten Island,New York,40.585438,-74.0847637,Staten Island University Hospital (Staten Island University Hospital Burn Center),0.0,0.0
Richmond University Medical Center,Staten Island,New York,40.6361272,-74.1055112,Staten Island University Hospital (Staten Island University Hospital Burn Center),3.6675047112999035,0.002561902063493381
Good Samaritan Hospital Medical Center,West Islip,New York,40.6940058,-73.2943415,Nassau University Medical Center (Nassau County Firefighters Burn Center),13.765202966030667,0.009615557350049016
South Shore University Hospital (SSUH),Bay Shore,New York,40.7260332,-73.2417981,Stony Brook Medicine (Suffolk County Volunteer Firefighters Burn Center),15.175658633695138,0.010600818329897845
Stony Brook Medicine (Suffolk County Volunteer Firefighters Burn Center),Stony Brook,New York,40.9253731,-73.1199288,Stony Brook Medicine (Suffolk County Volunteer Firefighters Burn Center),0.0,0.0
Westchester Medical Center/Maria Fareri Children's Hospital (Trauma Center at Westchester Medical Center),Valhalla,New York,41.087434,-73.8066939,Westchester Medical Center/Maria Fareri Children's Hospital (Trauma Center at Westchester Medical Center),0.0,0.0
Mission Hospitals,Asheville,North Carolina,35.5766889,-82.5492249,Wake Forest Baptist Medical Center/Brenner Children's Hospital (Wake Forest Baptist Burn Center),132.62492680585896,0.0926439365183966
Duke University Hospital,Durham,North Carolina,36.0070213,-78.9373479,University of North CarolinaHospitals/North Carolina Children's Hospital (North Carolina Jaycee Burn Center),9.476975620728078,0.006620055135475013
Wake Forest Baptist Medical Center/Brenner Children's Hospital (Wake Forest Baptist Burn Center),Winston-Salem,North Carolina,36.0898378,-80.2677122,Wake Forest Baptist Medical Center/Brenner Children's Hospital (Wake Forest Baptist Burn Center),0.0,0.0
Moses H. Cone Memorial Hospital,Greensboro,North Carolina,36.0914674,-79.7862926,Wake Forest Baptist Medical Center/Brenner Children's Hospital (Wake Forest Baptist Burn Center),26.8797759556996,0.01877662304699229
Carolinas Medical Center/Levine Children's Hospital,Charlotte,North Carolina,35.2038003,-80.8386847,Wake Forest Baptist Medical Center/Brenner Children's Hospital (Wake Forest Baptist Burn Center),69.10564368746132,0.04827311894555007
New Hanover Regional Medical Center,Wilmington,North Carolina,34.2050891,-77.9210562,University of North CarolinaHospitals/North Carolina Children's Hospital (North Carolina Jaycee Burn Center),133.70481980706003,0.09339828595375112
University of North CarolinaHospitals/North Carolina Children's Hospital (North Carolina Jaycee Burn Center),Chapel Hill,North Carolina,35.9050278,-79.0506418,University of North CarolinaHospitals/North Carolina Children's Hospital (North Carolina Jaycee Burn Center),0.0,0.0
Vidant Medical Center/Maynard Children's Hospital,Greenville,North Carolina,35.6075986,-77.4029042,University of North CarolinaHospitals/North Carolina Children's Hospital (North Carolina Jaycee Burn Center),94.6461732098839,0.06611422357579233
"WakeMed Health & Hospitals, Raleigh Campus",Raleigh,North Carolina,35.7826101,-78.5882427,University of North CarolinaHospitals/North Carolina Children's Hospital (North Carolina Jaycee Burn Center),27.244624169658042,0.019031484448893726
CHI St. Alexius Health Bismarck,Bismarck,North Dakota,46.8073409,-100.777008,Hennepin Healthcare/Hennepin Healthcare Children's Hospital (Hennepin Healthcare Burn Center),382.8185971402327,0.2674144496489524
Sanford Medical Center,Bismarck,North Dakota,46.8074941,-100.7823346,Hennepin Healthcare/Hennepin Healthcare Children's Hospital (Hennepin Healthcare Burn Center),383.06302482038024,0.2675851923820743
Essentia Health Fargo,Fargo,North Dakota,46.8332997,-96.8898929,Hennepin Healthcare/Hennepin Healthcare Children's Hospital (Hennepin Healthcare Burn Center),216.6678585053028,0.15135136216380893
Sanford Medical Center Fargo,Fargo,North Dakota,46.8844903,-96.786242,Hennepin Healthcare/Hennepin Healthcare Children's Hospital (Hennepin Healthcare Burn Center),214.7733895734626,0.150027998119926
Altru Health System,Grand Forks,North Dakota,47.9105416,-97.0689328,Miller-Dwan Burn Center at Essentia Health Duluth,245.29488735562313,0.17134851283067906
Trinity Health,Minot,North Dakota,48.232724,-101.292842,Miller-Dwan Burn Center at Essentia Health Duluth,440.37057735544676,0.3076168620459164
Lima Memorial Health System,Lima,Ohio,40.735896,-84.0858511,Lutheran Hospital (Lutheran Hospital Burn Center),64.29967232430276,0.044915951355708854
Mercy Health - St. Rita's Medical Center,Lima,Ohio,40.7404231,-84.1192008,Lutheran Hospital (Lutheran Hospital Burn Center),62.54949353852419,0.043693379881170995
Cleveland Clinic Hillcrest Hospital,Mayfield Heights,Ohio,41.5190161,-81.4356885,MetroHealth Medical Center (Burn Care Center at MetroHealth),14.064232084795103,0.009824441421566864
Fairview Hospital,Cleveland,Ohio,41.4493903,-81.8231575,MetroHealth Medical Center (Burn Care Center at MetroHealth),6.609569648651361,0.00461705477010319
MetroHealth Medical Center (Burn Care Center at MetroHealth),Cleveland,Ohio,41.4623879,-81.696703,MetroHealth Medical Center (Burn Care Center at MetroHealth),0.0,0.0
University Hospitals Cleveland Medical Center,Cleveland,Ohio,41.5057921,-81.606233,MetroHealth Medical Center (Burn Care Center at MetroHealth),5.560820898857544,0.0038844608683408716
Grant Medical Center,Columbus,Ohio,39.9605075,-82.9913476,Nationwide Children's Hospital (Burn Center at Nationwide Children's Hospital),0.9044867341797848,0.000631820982685602
Ohio State University Wexner Medical Center (The Ohio State Comprehensive Burn Center),Columbus,Ohio,39.9945101,-83.0164431,Ohio State University Wexner Medical Center (The Ohio State Comprehensive Burn Center),0.0,0.0
Mount Carmel East,Columbus,Ohio,39.9772905,-82.844166,Nationwide Children's Hospital (Burn Center at Nationwide Children's Hospital),7.366875437952119,0.0051460638422189935
OhioHealth Riverside Methodist Hospital,Columbus,Ohio,40.0312268,-83.0340807,Ohio State University Wexner Medical Center (The Ohio State Comprehensive Burn Center),2.703159631408111,0.0018882675777673048
University of Cincinnati Medical Center (UC Medical Center Burn Center),Cincinnati,Ohio,39.1385526,-84.5017257,University of Cincinnati Medical Center (UC Medical Center Burn Center),0.0,0.0
Mercy St. Vincent Medical Center (Mercy Health Medical Burn Center),Toledo,Ohio,41.6685845,-83.5426939,Mercy St. Vincent Medical Center (Mercy Health Medical Burn Center),0.0,0.0
ProMedica Toledo Hospital/Russell J. Ebeid Children's Hospital,Toledo,Ohio,41.6737582,-83.5949171,Mercy St. Vincent Medical Center (Mercy Health Medical Burn Center),2.7189148519276443,0.0018992732437819722
Mercy Health - St. Elizabeth Youngstown Hospital,Youngstown ,Ohio,41.1135545,-80.6602689,Akron Children's Hospital (Akron Children's Hospital Burn Center),45.12984186693509,0.031525040621706926
Kettering Health Main Campus,Kettering,Ohio,39.6962082,-84.1906759,Miami Valley Hospital (Miami Valley Hospital Regional Burn Center),3.397180446155146,0.002373069506427293
Miami Valley Hospital (Miami Valley Hospital Regional Burn Center),Dayton,Ohio,39.7452461,-84.1860386,Miami Valley Hospital (Miami Valley Hospital Regional Burn Center),0.0,0.0
OhioHealth MedCentral Mansfield Hospital,Mansfield,Ohio,40.7526722,-82.5287909,Akron Children's Hospital (Akron Children's Hospital Burn Center),57.02225925316094,0.039832380636247174
Aultman Hospital,Canton,Ohio,40.7967019,-81.4034019,Akron Children's Hospital (Akron Children's Hospital Burn Center),20.53980392859983,0.01434789324368134
Mercy Medical Center - Canton,Canton,Ohio,40.8141869,-81.395739,Akron Children's Hospital (Akron Children's Hospital Burn Center),19.530331311240293,0.013642735327050654
Cleveland Clinic Akron General,Akron,Ohio,41.0784407,-81.5315615,Akron Children's Hospital (Akron Children's Hospital Burn Center),0.3052211278482567,0.00021320944315271904
Summa Akron City Hospital,Akron,Ohio,41.0803895,-81.5003683,Akron Children's Hospital (Akron Children's Hospital Burn Center),1.3267522093543633,0.0009267906902523399
OU Medical Center,Oklahoma City,Oklahoma,35.4812872,-97.5010817,Paul Silvertein Burn Center,5.392936007047705,0.0037671864039259253
Ascension St. John Medical Center (Alexander Burn Center),Tulsa,Oklahoma,36.1339564,-95.9688643,Ascension St. John Medical Center (Alexander Burn Center),0.0,0.0
Good Samaritan Regional Medical Center,Corvallis,Oregon,44.6004947,-123.2503122,Legacy Emanuel Medical Center/Randall Children's Hospital (Oregon Burn Center),71.10630573088751,0.04967066322180262
St. Charles Medical Center Bend,Bend,Oregon,44.0675303,-121.2693418,Legacy Emanuel Medical Center/Randall Children's Hospital (Oregon Burn Center),123.00211934430162,0.08592201187671689
