HOSPITAL_NAME,CITY,STATE_FULL,adult_gap_flag,peds_gap_flag,dual_trauma_flag,priority_score
UPMC Children's Hospital of Pittsburgh,Pittsburgh,Pennsylvania,0,1,0,2
UPMC Presbyterian,Pittsburgh,Pennsylvania,1,0,0,2
Guthrie Robert Packer Hospital,Sayre ,Pennsylvania,1,0,0,2
Geisinger Community Medical Center,Scranton ,Pennsylvania,1,0,0,2
Grand View Health,Sellersville ,Pennsylvania,1,0,0,2
Reading Hospital - Tower Health,West Reading,Pennsylvania,1,0,0,2
Geisinger Wyoming Valley Medical Center,Wilkes-Barre,Pennsylvania,1,0,0,2
UPMC Williamsport,Williamsport ,Pennsylvania,1,0,0,2
Lankenau Medical Center,Wynnewood ,Pennsylvania,1,0,0,2
WellSpan York Hospital,York,Pennsylvania,1,0,0,2
HCA Trident Medical Center ,Charleston,South Carolina,1,0,0,2
Shawn Jenkins Children's Hospital,Charleston,South Carolina,0,1,0,2
McLeod Regional Medical Center,Florence,South Carolina,1,0,0,2
Spartanburg Medical Center - Church Street Campus,Spartanburg,South Carolina,1,0,0,2
Monument Health Rapid City Hospital,Rapid City,South Dakota,1,0,0,2
Avera McKennan Hospital and University Health Center,Sioux Falls,South Dakota,1,0,0,2
Bristol Regional Medical Center,Bristol,Tennessee,1,0,0,2
Erlanger Baroness Hospital,Chattanooga,Tennessee,1,0,0,2
Johnson City Medical Center,Johnson City,Tennessee,1,0,0,2
University of Tennessee Medical Center,Knoxville,Tennessee,1,0,0,2
Le Bonheur Children's Hospital,Memphis,Tennessee,0,1,0,2
Medical City Arlington,Arlington,Texas,1,0,0,2
Dell Children's Medical Center of Central Texas,Austin,Texas,0,1,0,2
HCA St. David's South Austin Medical Center,Austin,Texas,1,0,0,2
CHI St. Joseph Regional Health Center,Bryan,Texas,1,0,0,2
HCA Houston Healthcare Conroe,Conroe,Texas,1,0,0,2
CHRISTUS Spohn Hospital Corpus Christi Shoreline,Corpus Christi,Texas,1,0,0,2
HCA Corpus Christi Medical Center - Bay Area,Corpus Christi,Texas,1,0,0,2
Baylor University Medical Center at Dallas,Dallas,Texas,1,0,0,2
Children's Medical Center of Dallas,Dallas,Texas,0,1,0,2
Medical City Dallas,Dallas,Texas,0,1,0,2
Methodist Dallas Medical Center,Dallas,Texas,1,0,0,2
Texas Health Presbyterian Hospital of Dallas,Dallas,Texas,1,0,0,2
Medical City Denton,Denton,Texas,1,0,0,2
Doctors Hospital at Renaissance,Edinburg,Texas,1,0,0,2
Del Sol Medical Center,El Paso,Texas,1,0,0,2
University Medical Center of El Paso,El Paso,Texas,1,0,0,2
Cook Children's Medical Center,Fort Worth,Texas,0,1,0,2
JPS Health Network,Fort Worth,Texas,1,0,0,2
Texas Health Harris Methodist Hospital Fort Worth,Fort Worth,Texas,1,0,0,2
Baylor Scott & White Medical Center - Grapevine,Grapevine,Texas,1,0,0,2
Valley Baptist Medical Center-Harlingen,Harlingen,Texas,1,0,0,2
Ben Taub Hospital - Harris Health System,Houston,Texas,1,0,0,2
HCA Houston Healthcare Northwest,Houston,Texas,1,0,0,2
Texas Children's Hospital,Houston,Texas,0,1,0,2
Ascension Seton Hays,Kyle,Texas,1,0,0,2
Covenant Children's Hospital,Lubbock,Texas,0,1,0,2
Covenant Medical Center,Lubbock,Texas,1,0,0,2
McAllen Medical Center,McAllen,Texas,1,0,0,2
Texas Health Presbyterian Hospital Plano,Plano,Texas,1,0,0,2
Ascension Seton Williamson,Round Rock,Texas,1,0,0,2
HCA St. David's Round Rock Medical Center,Round Rock,Texas,1,0,0,2
Memorial Hermann The Woodlands Hospital,The Woodlands,Texas,1,0,0,2
CHRISTUS Trinity Mother Frances Hospital - Tyler,Tyler,Texas,1,0,0,2
UT Health Tyler,Tyler,Texas,1,0,0,2
Baylor Scott & White Hillcrest Medical Center,Waco,Texas,1,0,0,2
HCA Houston Healthcare Clear Lake,Webster,Texas,1,0,0,2
United Regional Health Care System,Wichita Falls,Texas,1,0,0,2
Intermountain Medical Center,Murray,Utah,1,0,0,2
HCA Ogden Regional Medical Center,Ogden,Utah,1,0,0,2
McKay-Dee Hospital,Ogden,Utah,1,0,0,2
Utah Valley Hospital,Provo,Utah,1,0,0,2
HCA St. Mark's Hospital,Salt Lake City,Utah,1,0,0,2
Primary Children's Hospital,Salt Lake City,Utah,0,1,0,2
St. George Regional Hospital,St George,Utah,1,0,0,2
Virginia Hospital Center in Arlington,Arlington,Virginia,1,0,0,2
University of Virginia Medical Center,Charlottesville,Virginia,1,0,0,2
Inova Fairfax Hospital,Falls Church,Virginia,1,0,0,2
Mary Washington Hospital,Fredericksburg ,Virginia,1,0,0,2
Centra Lynchburg General Hospital,Lynchburg ,Virginia,1,0,0,2
Riverside Regional Medical Center,Newport News,Virginia,1,0,0,2
Children's Hospital of The King's Daughters,Norfolk,Virginia,0,1,0,2
Reston Hospital Center,Reston,Virginia,1,0,0,2
Henrico Doctors' Hospital,Richmond,Virginia,1,0,0,2
Winchester Medical Center,Winchester ,Virginia,1,0,0,2
PeaceHealth St. Joseph Medical Center ,Bellingham,Washington,1,0,0,2
Providence Regional Medical Center Everett,Everett,Washington,1,0,0,2
Madigan Army Medical Center Joint Base Lewis ,Joint Base Lewis-McChord,Washington,1,0,0,2
MultiCare Mary Bridge Children's Hospital and Health Center,Tacoma,Washington,0,1,0,2
Tacoma Trauma Center,Tacoma,Washington,1,0,0,2
PeaceHealth Southwest Medical Center,Vancouver,Washington,1,0,0,2
Charleston Area Medical Center,Charleston,West Virginia,1,0,0,2
St. Mary's Medical Center - Huntington,Huntington,West Virginia,1,0,0,2
Wheeling Hospital,Wheeling,West Virginia,1,0,0,2
Mayo Clinic Health System Eau Claire,Eau Claire,Wisconsin,1,0,0,2
Aurora BayCare Medical Center,Green Bay,Wisconsin,1,0,0,2
HSHS St. Vincent Hospital,Green Bay,Wisconsin,1,0,0,2
Mercyhealth Hospital and Trauma Center,Janesville,Wisconsin,1,0,0,2
Gundersen Lutheran Medical Center,La Crosse,Wisconsin,1,0,0,2
SSM Health St. Mary's Hospital Madison,Madison,Wisconsin,1,0,0,2
ThedaCare Regional Medical Center - Neenah,Neenah,Wisconsin,1,0,0,2
Aurora Medical Center Summit,Summit,Wisconsin,1,0,0,2
Aspirus Wausau Hospital,Wausau,Wisconsin,1,0,0,2
