HOSPITAL_NAME,CITY,STATE_FULL,adult_gap_flag,peds_gap_flag,dual_trauma_flag,priority_score
Palomar Medical Center Escondido,Escondido,California,1,0,0,2
NorthBay Medical Center,Fairfield,California,1,0,0,2
San Joaquin General Hospital,French Camp,California,1,0,0,2
Scripps Memorial Hospital,La Jolla,California,1,0,0,2
Antelope Valley Hospital ,Lancaster,California,1,0,0,2
Long Beach Medical Center,Long Beach,California,1,0,0,2
St. Mary Medical Center Long Beach,Long Beach,California,1,0,0,2
California Hospital Medical Center,Los Angeles,California,1,0,0,2
Ronald Reagan UCLA Medical Center,Los Angeles,California,1,0,0,2
Children's Hospital Los Angeles,Los Angeles ,California,0,1,0,2
St. Francis Medical Center Lynwood,Lynwood,California,1,0,0,2
Valley Children's Healthcare,Madera,California,0,1,0,2
Providence Holy Cross Medical Center,Mission Hills,California,1,0,0,2
Doctors Medical Center,Modesto,California,1,0,0,2
Memorial Medical Center,Modesto,California,1,0,0,2
Riverside University Health System Medical Center,Moreno Valley,California,1,0,0,2
Northridge Hospital Medical Center,Northridge ,California,1,0,0,2
Highland Hospital,Oakland,California,1,0,0,2
UCSF Benioff Children's Hospital Oakland,Oakland,California,0,1,0,2
Children's Hospital of Orange County,Orange,California,0,1,0,2
Desert Regional Medical Center,Palm Springs,California,1,0,0,2
Huntington Hospital,Pasadena,California,1,0,0,2
Pomona Valley Hospital Medical Center,Pomona,California,1,0,0,2
Mercy Medical Center Redding,Redding,California,1,0,0,2
HCA Riverside Community Hospital,Riverside ,California,1,0,0,2
Sutter Roseville Medical Center,Roseville,California,1,0,0,2
Kaiser Permanente South Sacramento Medical Center,Sacramento,California,1,0,0,2
Natividad Medical Center,Salinas ,California,1,0,0,2
Rady Children's Hospital - San Diego,San Diego,California,0,1,0,2
Scripps Mercy Hospital,San Diego,California,1,0,0,2
Sharp Memorial Hospital,San Diego,California,1,0,0,2
Zuckerberg San Francisco General Hospital ,San Francisco,California,1,0,0,2
HCA Regional Medical Center,San Jose,California,1,0,0,2
Santa Barbara Cottage Hospital,Santa Barbara,California,1,0,0,2
Santa Rosa Memorial Hospital,Santa Rosa,California,1,0,0,2
Los Robles Hospital and Medical Center,Thousand Oaks,California,1,0,0,2
Harbor-UCLA Medical Center,Torrance,California,1,0,0,2
Kaiser Permanente Vacaville Medical Center,Vacaville,California,1,0,0,2
Henry Mayo Newhall Hospital,Valencia,California,1,0,0,2
Ventura County Medical Center ,Ventura,California,1,0,0,2
"John Muir Medical Center, Walnut Creek",Walnut Creek,California,1,0,0,2
Cedar-Sinai Medical Center,West Hollywood,California,1,0,0,2
Inland Valley Medical Center,Wildomar,California,1,0,0,2
Medical Center of Aurora ,Aurora,Colorado,1,0,0,2
Boulder Community Foothills Hospital,Boulder,Colorado,1,0,0,2
Children's Hospital of Colorado at Memorial,Colorado Springs,Colorado,0,1,0,2
Penrose Hospital,Colorado Springs,Colorado,1,0,0,2
UCHealth Memorial Hospital,Colorado Springs,Colorado,1,0,0,2
St. Mary's Hospital and Medical Center,Grand Junction,Colorado,1,0,0,2
Good Samaritan Medical Center,Lafayette ,Colorado,1,0,0,2
St. Anthony Hospital,Lakewood,Colorado,1,0,0,2
Littleton Adventist Hospital ,Littleton,Colorado,1,0,0,2
Sky Ridge Medical Center ,Lone Tree,Colorado,1,0,0,2
UCHealth Medical Center of the Rockies,Loveland,Colorado,1,0,0,2
Parker Adventist Hospital,Parker,Colorado,1,0,0,2
North Suburban Medical Center,Thornton,Colorado,1,0,0,2
Lutheran Medical Center,Wheat Ridge,Colorado,1,0,0,2
St. Vincent's Medical Center ,Bridgeport,Connecticut,1,0,0,2
Danbury Hospital,Danbury,Connecticut,1,0,0,2
Connecticut Children's Medical Center,Hartford,Connecticut,0,1,0,2
Hartford Hospital,Hartford,Connecticut,1,0,0,2
Saint Francis Hospital and Medical Center,Hartford,Connecticut,1,0,0,2
Yale-New Haven Hospital-Saint Raphael,New Haven,Connecticut,1,0,0,2
Norwalk Hospital,Norwalk,Connecticut,1,0,0,2
Stamford Hospital,Stamford,Connecticut,1,0,0,2
Saint Mary's Hospital,Waterbury,Connecticut,1,0,0,2
Waterbury Hospital,Waterbury,Connecticut,1,0,0,2
ChristianaCare,Newark,Delaware,1,0,0,2
Nemours Children's Hospital ,Wilmington,Delaware,0,1,0,2
George Washington University Hospital,Washington,District of Columbia,1,0,0,2
Howard University Hospital,Washington,District of Columbia,1,0,0,2
Halifax Health Medical Center,Daytona Beach,Florida,1,0,0,2
Delray Medical Center,Delray Beach,Florida,1,0,0,2
Broward Health Medical Center,Fort Lauderdale,Florida,1,0,0,2
Lee Memorial Hospital,Fort Myers,Florida,1,0,0,2
Lawnwood Regional Medical Center,Fort Pierce,Florida,1,0,0,2
Fort Walton Beach Medical Center,Fort Walton Beach,Florida,1,0,0,2
Regional Medical Center Bayonet Point,Hudson,Florida,1,0,0,2
Florida Memorial Hospital (Jacksonville),Jacksonville,Florida,1,0,0,2
Shands Jacksonville Medical Center,Jacksonville,Florida,1,0,0,2
Wolfson Children's Hospital,Jacksonville,Florida,0,1,0,2
Osceola Regional Medical Center,Kissimmee,Florida,1,0,0,2
Lakeland Regional Medical Center,Lakeland,Florida,1,0,0,2
St. Mary's Medical Center,Mangonia Park,Florida,1,0,0,2
Health First Holmes Regional Medical Center,Melbourne,Florida,1,0,0,2
Aventura Hospital and Medical Center,Miami,Florida,1,0,0,2
Nicklaus Children's Hospital,Miami,Florida,0,1,0,2
Ocala Regional Medical Center,Ocala,Florida,1,0,0,2
Orange Park Medical Center,Orange Park,Florida,1,0,0,2
Jackson South Community Hospital,Palmetto Bay,Florida,1,0,0,2
Ascension Sacred Heart Bay,Panama City,Florida,1,0,0,2
Baptist Hospital,Pensacola,Florida,1,0,0,2
Broward Health North,Pompano Beach,Florida,1,0,0,2
Central Florida Regional Hospital,Sanford,Florida,1,0,0,2
Sarasota Memorial Health Care System,Sarasota,Florida,1,0,0,2
Bayfront Health St. Petersburg,St Petersburg,Florida,1,0,0,2
Johns Hopkins All Children's Hospital ,St Petersburg,Florida,0,1,0,2
Tallahassee Memorial HealthCare,Tallahassee,Florida,1,0,0,2
Piedmont Athens Regional Medical Center,Athens,Georgia,1,0,0,2
Children's Healthcare of Atlanta at Egleston,Atlanta,Georgia,0,1,0,2
Children's Healthcare of Atlanta at Scottish Rite,Atlanta,Georgia,0,1,0,2
WellStar Atlanta Medical Center,Atlanta,Georgia,1,0,0,2
Piedmont Columbus Regional Midtown,Columbus,Georgia,1,0,0,2
Northeast Georgia Medical Center,Gainesville,Georgia,1,0,0,2
Northside Hospital - Gwinnett,Lawrenceville,Georgia,1,0,0,2
Atrium Health Navicent The Medical Center,Macon,Georgia,1,0,0,2
WellStar Kennestone Hospital,Marietta,Georgia,1,0,0,2
Atrium Health Floyd,Rome,Georgia,1,0,0,2
WellStar North Fulton Hospital,Roswell,Georgia,1,0,0,2
Memorial Health University Medical Center,Savannah,Georgia,1,0,0,2
